time,accuracy
10.003281184,0.71
20.006137233,0.7
30.010858538,0.82
40.015048763,0.79
50.018839405,0.9
60.025118773,0.79
70.034060875,0.86
80.03562524,0.9
90.039456641,0.91
100.042342289,0.92
110.043817858,0.85
120.047382134,0.89
130.054673693,0.88
140.058747735,0.88
150.06522777,0.87
160.069319612,0.9
170.073392264,0.9
180.075657569,0.88
190.07842251,0.94
200.080651335,0.9
210.087375169,0.87
220.096387017,0.94
230.102233577,0.9
240.107793479,0.86
250.114620412,0.93
260.117672502,0.9
270.120566482,0.93
280.124286887,0.95
290.127304367,0.91
300.133947961,0.87
310.137825004,0.91
320.143494176,0.9
330.146615655,0.83
340.151873488,0.94
350.153853125,0.93
360.155223396,0.93
370.160164953,0.92
380.164052027,0.9
390.171091688,0.88
400.173133815,0.91
410.179172653,0.89
420.183541064,0.91
430.18645596,0.95

