time,accuracy
3240.826369405,0.77
3250.834201915,0.85
3260.840744644,0.84
3270.846304457,0.85
3280.851162662,0.88
3290.855909154,0.82
3300.863019074,0.82
3310.866557073,0.86
3320.8721800109997,0.88
3330.873979098,0.79
3340.879316892,0.9
3350.8819445159997,0.87
3360.8859697,0.94
3370.888528043,0.87
3380.895132036,0.89
3390.901434549,0.81
3400.907767568,0.85
3410.9103838399997,0.87
3420.913470165,0.89
3430.914944836,0.82
3440.923923037,0.83
3450.9303329510003,0.88
3460.9323149290003,0.8
3470.936435724,0.91
3480.939995504,0.85
3490.948793178,0.81
3500.951476677,0.79
3510.954009646,0.87
3520.957465937,0.83
3530.9614036390003,0.87
3540.96586905,0.86
3550.969722503,0.87
3560.972253223,0.85
3570.977139982,0.82
3580.9802433699997,0.79
3590.987203226,0.85
3600.990635312,0.88
3610.9978917159997,0.85
3621.0021036549997,0.88
3631.009249137,0.88
3641.017367515,0.89
3651.0237771829998,0.85
3661.026203906,0.85
3671.0283170000002,0.89
3681.033284445,0.8
3691.035010693,0.85
3701.04086148,0.94
3711.047509683,0.81
